home_team,away_team,home_score,away_score
Forge,York United,1,1
Pacific,HFX Wanderers,1,0
Pacific,Valour,1,2
HFX Wanderers,Forge,2,1
Cavalry,York United,2,1
Valour,Edmonton,1,2
Forge,Pacific,3,0
Cavalry,Valour,1,0
Valour,HFX Wanderers,1,0
Forge,Cavalry,1,2
Edmonton,Pacific,0,0
Valour,Forge,0,2
Pacific,York United,2,2
Cavalry,Edmonton,1,0
York United,Forge,0,2
Cavalry,HFX Wanderers,2,0
HFX Wanderers,York United,1,1
Forge,Edmonton,2,0
HFX Wanderers,Pacific,2,1
Edmonton,Valour,0,1
York United,Pacific,1,0
Edmonton,Cavalry,0,3
Forge,Valour,2,1
HFX Wanderers,Cavalry,1,2
York United,Edmonton,0,0
Valour,Pacific,1,2
York United,HFX Wanderers,0,0
Cavalry,Forge,0,1
Pacific,Edmonton,1,3
HFX Wanderers,Valour,2,0
York United,Cavalry,0,2
Edmonton,Forge,1,0
Valour,York United,1,3
Edmonton,HFX Wanderers,2,0
Pacific,Cavalry,3,1
Forge,Edmonton,1,2
HFX Wanderers,York United,1,0
Pacific,Cavalry,2,3
HFX Wanderers,Cavalry,0,1
Pacific,Forge,2,3
York United,Edmonton,2,1
Forge,HFX Wanderers,2,0
York United,Pacific,2,1
Edmonton,Valour,0,0
Forge,Valour,3,1
Pacific,HFX Wanderers,3,1
Cavalry,York United,1,0
Valour,Cavalry,1,1
York United,HFX Wanderers,6,2
Edmonton,Forge,1,1
Valour,Pacific,2,2
Edmonton,HFX Wanderers,2,0
HFX Wanderers,Valour,1,0
HFX Wanderers,Cavalry,0,0
York United,Valour,0,2
Edmonton,Pacific,3,1
Cavalry,Edmonton,0,0
York United,Pacific,0,2
Valour,Forge,1,3
Valour,Edmonton,3,1
Cavalry,York United,3,1
Pacific,Valour,2,1
Forge,Cavalry,1,0
Edmonton,York United,2,2
Valour,HFX Wanderers,2,0
Cavalry,Pacific,1,1
HFX Wanderers,Edmonton,0,0
Valour,Cavalry,0,8
Pacific,Forge,1,1
Forge,York United,2,1
Edmonton,Cavalry,0,1
Pacific,York United,0,2
Valour,Forge,1,3
Pacific,Edmonton,1,0
Forge,HFX Wanderers,2,2
York United,Valour,2,4
HFX Wanderers,Forge,1,1
HFX Wanderers,Valour,0,0
Edmonton,York United,1,3
Cavalry,Pacific,4,1
HFX Wanderers,Edmonton,1,1
Forge,Pacific,3,0
York United,Cavalry,1,1
Cavalry,Valour,4,1
Edmonton,Forge,0,1
Pacific,HFX Wanderers,1,1
Valour,Edmonton,3,1
Cavalry,HFX Wanderers,2,0
Forge,York United,1,0
HFX Wanderers,Pacific,1,1
Cavalry,Forge,2,1
York United,Forge,4,0
Forge,Cavalry,1,0
Valour,York United,0,4
Edmonton,Pacific,3,1
York United,HFX Wanderers,0,2
Cavalry,Edmonton,3,1
Pacific,Valour,2,0
Forge,Cavalry,1,0
Cavalry,Forge,0,1
